NAME,TEAM,SITE,POSITION,PASS_YARDS,PASS_TD,INTERCEPTIONS,RUSH_YARDS,RUSH_TD,REC_YARDS,REC_TD,FUM_TD,TWO_PT,FUM_LOST
Jordan Thomas,HOU,cbssports.com,TE,0,0,0,0,0,40.0,0.3,0,0,0.0
Mason Schreck,CIN,cbssports.com,TE,0,0,0,0,0,35.0,0.3,0,0,0.0
Jim Dray,ARI,cbssports.com,TE,0,0,0,0,0,43.0,0.3,0,0,0.0
Tyler Conklin,MIN,cbssports.com,TE,0,0,0,0,0,41.0,0.3,0,0,0.0
Eric Saubert,ATL,cbssports.com,TE,0,0,0,0,0,37.0,0.3,0,0,0.0
Evan Baylis,CAR,cbssports.com,TE,0,0,0,0,0,35.0,0.3,0,0,0.0
Bucky Hodges,NYJ,cbssports.com,TE,0,0,0,0,0,34.0,0.3,0,0,0.0
Rico Gathers,DAL,cbssports.com,TE,0,0,0,0,0,35.0,0.3,0,0,0.0
James O'Shaughnessy,JAC,cbssports.com,TE,0,0,0,0,0,38.0,0.3,0,0,0.1
Troy Fumagalli,DEN,cbssports.com,TE,0,0,0,0,0,42.0,0.3,0,0,0.1
Temarrick Hemingway,LAR,cbssports.com,TE,0,0,0,0,0,35.0,0.3,0,0,0.1
Brandon Williams,IND,cbssports.com,TE,0,0,0,0,0,57.0,0.1,0,0,0.1
Nick Boyle,BAL,cbssports.com,TE,0,0,0,0,0,54.0,0.1,0,0,0.1
Chris Manhertz,CAR,cbssports.com,TE,0,0,0,0,0,38.0,0.2,0,0,0.0
Khari Lee,BUF,cbssports.com,TE,0,0,0,0,0,31.0,0.2,0,0,0.0
Antony Auclair,TB,cbssports.com,TE,0,0,0,0,0,40.0,0.2,0,0,0.1
Clay Harbor,NO,cbssports.com,TE,0,0,0,0,0,32.0,0.2,0,0,0.1
Michael Roberts,DET,cbssports.com,TE,0,0,0,0,0,46.0,0.2,0,0,0.1
Ifeanyi Momah,ARI,cbssports.com,TE,0,0,0,0,0,49.0,0.0,0,0,0.1
Blake Bell,MIN,cbssports.com,TE,0,0,0,0,0,49.0,0.0,0,0,0.1
