NAME,TEAM,SITE,POSITION,PASS_YARDS,PASS_TD,INTERCEPTIONS,RUSH_YARDS,RUSH_TD,REC_YARDS,REC_TD,FUM_TD,TWO_PT,FUM_LOST
Jaleel Scott,BAL,cbssports.com,WR,0,0,0,0,0,118.0,0.6,0,0,0.4
Jordan Lasley,BAL,cbssports.com,WR,0,0,0,0,0,118.0,0.6,0,0,0.4
Josh Bellamy,CHI,cbssports.com,WR,0,0,0,0,0,130.0,0.4,0,0,0.1
Tajae Sharpe,TEN,cbssports.com,WR,0,0,0,0,0,130.0,0.4,0,0,0.1
Brandon Coleman,NO,cbssports.com,WR,0,0,0,0,0,104.0,0.8,0,0,0.6
Johnny Holton,OAK,cbssports.com,WR,0,0,0,0,0,67.0,0.9,0,0,0.7
Cordarrelle Patterson,NE,cbssports.com,WR,0,0,0,0,0,89.0,0.1,0,0,0.1
Kendrick Bourne,SF,cbssports.com,WR,0,0,0,0,0,139.0,0.1,0,0,0.1
Sammie Coates,HOU,cbssports.com,WR,0,0,0,0,0,95.0,0.4,0,0,0.1
Jaydon Mickens,JAC,cbssports.com,WR,0,0,0,0,0,36.0,1.1,0,0,0.7
J.D. McKissic,SEA,cbssports.com,WR,0,0,0,0,0,48.0,0.3,0,0,0.2
Brandon Tate,BUF,cbssports.com,WR,0,0,0,0,0,55.0,0.7,0,0,0.1
Demarcus Robinson,KC,cbssports.com,WR,0,0,0,0,0,85.0,0.3,0,0,0.0
Leonte Carroo,MIA,cbssports.com,WR,0,0,0,0,0,89.0,0.3,0,0,0.1
De'Anthony Thomas,KC,cbssports.com,WR,0,0,0,0,0,53.0,0.6,0,0,0.0
Geremy Davis,LAC,cbssports.com,WR,0,0,0,0,0,64.0,0.4,0,0,0.0
Braxton Berrios,NE,cbssports.com,WR,0,0,0,0,0,70.0,0.4,0,0,0.0
Dylan Cantrell,LAC,cbssports.com,WR,0,0,0,0,0,64.0,0.4,0,0,0.0
Markus Wheaton,PHI,cbssports.com,WR,0,0,0,0,0,78.0,0.4,0,0,0.1
Michael Campanaro,TEN,cbssports.com,WR,0,0,0,0,0,61.0,0.4,0,0,0.1
Austin Carr,NO,cbssports.com,WR,0,0,0,0,0,66.0,0.4,0,0,0.1
Corey Fuller,NO,cbssports.com,WR,0,0,0,0,0,66.0,0.4,0,0,0.1
Marquez Valdes-Scantling,GB,cbssports.com,WR,0,0,0,0,0,58.0,0.5,0,0,0.0
Equanimeous St. Brown,GB,cbssports.com,WR,0,0,0,0,0,58.0,0.5,0,0,0.0
Jarius Wright,CAR,cbssports.com,WR,0,0,0,0,0,61.0,0.5,0,0,0.1
Max McCaffrey,SF,cbssports.com,WR,0,0,0,0,0,67.0,0.3,0,0,0.1
Trey Quinn,WAS,cbssports.com,WR,0,0,0,0,0,64.0,0.3,0,0,0.1
Richie James,SF,cbssports.com,WR,0,0,0,0,0,69.0,0.3,0,0,0.1
Justin Watson,TB,cbssports.com,WR,0,0,0,0,0,64.0,0.3,0,0,0.1
Wendall Williams,HOU,cbssports.com,WR,0,0,0,0,0,75.0,0.3,0,0,0.1
Travis Rudolph,NYG,cbssports.com,WR,0,0,0,0,0,98.0,0.1,0,0,0.1
Brenton Bersin,CAR,cbssports.com,WR,0,0,0,0,0,100.0,0.1,0,0,0.1
Kasen Williams,IND,cbssports.com,WR,0,0,0,0,0,79.0,0.2,0,0,0.0
Darrius Heyward-Bey,PIT,cbssports.com,WR,0,0,0,0,0,35.0,0.2,0,0,0.1
Alex Erickson,CIN,cbssports.com,WR,0,0,0,0,0,64.0,0.3,0,0,0.4
Kamar Aiken,IND,cbssports.com,WR,0,0,0,0,0,73.0,0.2,0,0,0.1
Nick Williams,TEN,cbssports.com,WR,0,0,0,0,0,69.0,0.2,0,0,0.1
Reggie Davis,ATL,cbssports.com,WR,0,0,0,0,0,62.0,0.3,0,0,0.0
Daurice Fountain,IND,cbssports.com,WR,0,0,0,0,0,55.0,0.3,0,0,0.0
Russell Gage,ATL,cbssports.com,WR,0,0,0,0,0,62.0,0.3,0,0,0.0
Deon Cain,IND,cbssports.com,WR,0,0,0,0,0,55.0,0.3,0,0,0.0
Aaron Dobson,ARI,cbssports.com,WR,0,0,0,0,0,62.0,0.3,0,0,0.0
DeAndrew White,HOU,cbssports.com,WR,0,0,0,0,0,63.0,0.3,0,0,0.1
Marcell Ateman,OAK,cbssports.com,WR,0,0,0,0,0,56.0,0.3,0,0,0.1
Ed Eagan,NYG,cbssports.com,WR,0,0,0,0,0,59.0,0.3,0,0,0.1
Andy Jones,DET,cbssports.com,WR,0,0,0,0,0,55.0,0.3,0,0,0.1
Ced Wilson,DAL,cbssports.com,WR,0,0,0,0,0,51.0,0.3,0,0,0.1
Mike Thomas,LAR,cbssports.com,WR,0,0,0,0,0,108.0,0.0,0,0,0.2
Auden Tate,CIN,cbssports.com,WR,0,0,0,0,0,50.0,0.3,0,0,0.1
Carlos Henderson,DEN,cbssports.com,WR,0,0,0,0,0,61.0,0.3,0,0,0.1
Shelton Gibson,PHI,cbssports.com,WR,0,0,0,0,0,50.0,0.3,0,0,0.1
Damion Ratley,CLE,cbssports.com,WR,0,0,0,0,0,61.0,0.3,0,0,0.1
Harry Douglas,TEN,cbssports.com,WR,0,0,0,0,0,70.0,0.1,0,0,0.1
Freddie Martino,TB,cbssports.com,WR,0,0,0,0,0,71.0,0.1,0,0,0.1
Marvin Hall,ATL,cbssports.com,WR,0,0,0,0,0,27.0,0.4,0,0,0.1
Maurice Harris,WAS,cbssports.com,WR,0,0,0,0,0,40.0,0.4,0,0,0.1
Jordan Taylor,DEN,cbssports.com,WR,0,0,0,0,0,57.0,0.2,0,0,0.1
Tanner Gentry,CHI,cbssports.com,WR,0,0,0,0,0,60.0,0.2,0,0,0.1
Javon Wims,CHI,cbssports.com,WR,0,0,0,0,0,54.0,0.2,0,0,0.1
Noah Brown,DAL,cbssports.com,WR,0,0,0,0,0,48.0,0.2,0,0,0.1
Shane Wynn,JAC,cbssports.com,WR,0,0,0,0,0,50.0,0.2,0,0,0.1
Marcus Johnson,SEA,cbssports.com,WR,0,0,0,0,0,60.0,0.2,0,0,0.2
Michael Floyd,MIN,cbssports.com,WR,0,0,0,0,0,41.0,0.3,0,0,0.1
Tommylee Lewis,NO,cbssports.com,WR,0,0,0,0,0,48.0,0.3,0,0,0.6
Amara Darboh,SEA,cbssports.com,WR,0,0,0,0,0,51.0,0.1,0,0,0.1
Quan Bray,BUF,cbssports.com,WR,0,0,0,0,0,54.0,0.1,0,0,0.1
Charone Peake,NYJ,cbssports.com,WR,0,0,0,0,0,57.0,0.1,0,0,0.1
Brandon Reilly,BUF,cbssports.com,WR,0,0,0,0,0,45.0,0.2,0,0,0.0
Ray-Ray McCloud,BUF,cbssports.com,WR,0,0,0,0,0,45.0,0.2,0,0,0.0
Chris Matthews,BAL,cbssports.com,WR,0,0,0,0,0,39.0,0.2,0,0,0.0
Austin Proehl,BUF,cbssports.com,WR,0,0,0,0,0,45.0,0.2,0,0,0.0
Josh Malone,CIN,cbssports.com,WR,0,0,0,0,0,16.0,0.2,0,0,0.1
Jeff Janis,CLE,cbssports.com,WR,0,0,0,0,0,24.0,0.1,0,0,0.1
Tanner McEvoy,SEA,cbssports.com,WR,0,0,0,0,0,61.0,0.2,0,0,0.6
JoJo Natson,NYJ,cbssports.com,WR,0,0,0,0,0,45.0,0.2,0,0,0.1
Arrelious Benn,JAC,cbssports.com,WR,0,0,0,0,0,22.0,0.2,0,0,0.1
Ricardo Louis,CLE,cbssports.com,WR,0,0,0,0,0,60.0,0.0,0,0,0.1
Charles D. Johnson,NYJ,cbssports.com,WR,0,0,0,0,0,61.0,0.0,0,0,0.1
ArDarius Stewart,NYJ,cbssports.com,WR,0,0,0,0,0,40.0,0.0,0,0,0.1
Cody Core,CIN,cbssports.com,WR,0,0,0,0,0,50.0,0.0,0,0,0.1
Jehu Chesson,KC,cbssports.com,WR,0,0,0,0,0,31.0,0.1,0,0,0.0
Trevor Davis,GB,cbssports.com,WR,0,0,0,0,0,47.0,0.2,0,0,0.3
Brittan Golden,ARI,cbssports.com,WR,0,0,0,0,0,35.0,0.1,0,0,0.2
Kaelin Clay,BUF,cbssports.com,WR,0,0,0,0,0,62.0,0.0,0,0,0.6
Chad Hansen,NYJ,cbssports.com,WR,0,0,0,0,0,27.0,0.0,0,0,0.1
Chris Thompson,HOU,cbssports.com,WR,0,0,0,0,0,46.0,0.0,0,0,0.1
Kalif Raymond,NYG,cbssports.com,WR,0,0,0,0,0,24.0,0.1,0,0,0.5
Ryan Switzer,OAK,cbssports.com,WR,0,0,0,0,0,36.0,0.1,0,0,0.5
Aaron Burbridge,SF,cbssports.com,WR,0,0,0,0,0,43.0,0.0,0,0,0.3
Andre Roberts,NYJ,cbssports.com,WR,0,0,0,0,0,33.0,0.1,0,0,0.7
