NAME,TEAM,SITE,POSITION,PASS_YARDS,PASS_TD,INTERCEPTIONS,RUSH_YARDS,RUSH_TD,REC_YARDS,REC_TD,FUM_TD,TWO_PT,FUM_LOST
Corey Davis,TEN,ESPN.com,WR,0,0,0,0,0,847.1,5.5,0,0,0
Jamison Crowder,WSH,ESPN.com,WR,0,0,0,42.3,0.2,825.9,3.9,0,0,0
Evan Engram,NYG,ESPN.com,TE,0,0,0,0,0,758.3,6.1,0,0,0
Kenny Stills,MIA,ESPN.com,WR,0,0,0,0,0,902.3,4.8,0,0,0
DeVante Parker,MIA,ESPN.com,WR,0,0,0,0,0,838.4,5,0,0,0
Sterling Shepard,NYG,ESPN.com,WR,0,0,0,26.2,0.1,781.4,4.9,0,0,0
Jordan Reed,WSH,ESPN.com,TE,0,0,0,0,0,733.7,5.4,0,0,0
Marqise Lee,JAX,ESPN.com,WR,0,0,0,28,0.1,820.9,4.6,0,0,0
Mark Ingram,NO,ESPN.com,RB,0,0,0,696.5,6.1,260.8,1.4,0,0,0
Robby Anderson,NYJ,ESPN.com,WR,0,0,0,22.6,0.1,863.4,4.1,0,0,0
Will Fuller V,HOU,ESPN.com,WR,0,0,0,28,0.1,786.1,5.9,0,0,0
Jordy Nelson,OAK,ESPN.com,WR,0,0,0,0,0,765.5,5.2,0,0,0
Marquise Goodwin,SF,ESPN.com,WR,0,0,0,23.8,0.1,855.9,5.2,0,0,0
Rishard Matthews,TEN,ESPN.com,WR,0,0,0,0,0,840.6,4.8,0,0,0
Dion Lewis,TEN,ESPN.com,RB,0,0,0,573.6,3.7,372.2,1.6,0,0,0
Mohamed Sanu,ATL,ESPN.com,WR,0,0,0,23.4,0.1,739.6,4.9,0,0,0
DeSean Jackson,TB,ESPN.com,WR,0,0,0,23.9,0.1,867.1,4.2,0,0,0
Jack Doyle,IND,ESPN.com,TE,0,0,0,0,0,628.4,6,0,0,0
Duke Johnson Jr.,CLE,ESPN.com,RB,0,0,0,318.6,2,544.5,1.6,0,0,0
Tarik Cohen,CHI,ESPN.com,RB,0,0,0,312.7,2.3,471.4,1.9,0,0,0
Nelson Agholor,PHI,ESPN.com,WR,0,0,0,49.8,0.2,709.6,4.9,0,0,0
Jay Ajayi,PHI,ESPN.com,RB,0,0,0,939,5.2,164.5,0.7,0,0,0
Marlon Mack,IND,ESPN.com,RB,0,0,0,699,5.1,269.7,1.2,0,0,0
Chris Thompson,WSH,ESPN.com,RB,0,0,0,394,2.3,469.2,1.8,0,0,0
Kyle Rudolph,MIN,ESPN.com,TE,0,0,0,0,0,611.7,7.2,0,0,0
Josh Doctson,WSH,ESPN.com,WR,0,0,0,0,0,759.6,6,0,0,0
